City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Severo-Kurilsk,RU,50.6789,156.125,53.8,82,100,17.16,overcast clouds
314,Lagoa,PT,39.05,-27.9833,66.88,83,100,11.77,overcast clouds
315,Huarmey,PE,-10.0681,-78.1522,62.49,87,2,8.41,clear sky
316,Sao Filipe,CV,14.8961,-24.4956,73.99,81,38,9.13,scattered clouds
317,Chadiza,ZM,-14.0678,32.4392,52.25,97,38,4.63,scattered clouds
318,Dehloran,IR,32.6941,47.2679,93.02,11,0,8.14,clear sky
319,Srandakan,ID,-7.9386,110.2506,81.09,80,82,14.67,broken clouds
320,Honiara,SB,-9.4333,159.95,88.21,48,3,12.12,clear sky
321,Caravelas,BR,-17.7125,-39.2481,70.57,82,9,6.69,clear sky
322,Nicoya,CR,10.1483,-85.452,73.58,98,100,3.65,overcast clouds
323,Port Hedland,AU,-20.3167,118.5667,69.85,26,4,23.02,clear sky
324,Itarema,BR,-2.9248,-39.9167,76.1,86,6,10.4,clear sky
325,Jumla,NP,29.2747,82.1838,69.37,71,100,3.51,overcast clouds
326,Lodwar,KE,3.1191,35.5973,73.44,64,27,14.07,scattered clouds
327,Vokhma,RU,58.9303,46.7586,56.97,67,7,4.43,clear sky
328,Nemuro,JP,43.3236,145.575,60.64,92,40,10.45,scattered clouds
329,Atar,MR,20.5169,-13.0499,85.46,18,4,10.16,clear sky
330,Ayagoz,KZ,47.9714,80.4392,70.39,34,12,9.26,few clouds
331,Hirara,JP,24.8,125.2833,84.06,89,75,11.5,mist
332,Tomatlan,MX,19.9333,-105.25,78.17,78,20,2.33,few clouds
333,Chunskiy,RU,56.0815,99.6342,68.38,55,100,5.19,overcast clouds
334,Chapais,CA,49.7834,-74.8492,60.58,84,66,4.85,broken clouds
335,Hammerfest,NO,70.6634,23.6821,68.45,68,0,1.14,clear sky
336,Liku,ID,-0.7275,119.8922,85.62,65,100,7.05,overcast clouds
337,Cosala,MX,24.4125,-106.6908,76.87,83,36,1.43,scattered clouds
338,Svetlogorsk,BY,52.6333,29.7333,60.46,90,5,6.85,clear sky
339,Ust-Ishim,RU,57.6935,71.1665,52.3,83,100,4.83,overcast clouds
340,Severodvinsk,RU,64.5635,39.8302,53.71,82,68,5.77,broken clouds
341,Karaton,ID,-6.3424,106.1045,84.34,62,78,3.24,broken clouds
342,Homestead,US,25.4687,-80.4776,85.01,83,100,1.99,overcast clouds
343,Havre,FR,49.5833,0.3333,56.97,77,0,6.91,clear sky
344,Marzuq,YE,14.4,46.4667,81.86,41,100,6.67,overcast clouds
345,Maragogi,BR,-9.0122,-35.2225,75.34,91,50,11.16,light rain
346,Ndele,CF,8.4109,20.6473,69.48,98,100,1.57,light rain
347,Zhigansk,RU,66.7697,123.3711,68.36,41,93,11.61,overcast clouds
348,Krasnaya Poyma,RU,55.0014,39.08,53.19,75,0,6.87,clear sky
